month,candidate_keys
2023-09-01,838123
2023-10-01,854958
2023-11-01,842875
2023-12-01,943979
2024-01-01,1001036
2024-02-01,920687
2024-03-01,1025781
2024-04-01,989522
2024-05-01,970336
2024-06-01,907189
2024-07-01,845579
2024-08-01,784233
2024-09-01,982136
2024-10-01,988394
2024-11-01,1036378
2024-12-01,1080291
2025-01-01,1121214
2025-02-01,995506
2025-03-01,1213269
2025-04-01,1154703
2025-05-01,1158323
2025-06-01,1043251
2025-07-01,1083401
2025-08-01,1207789
2025-09-01,1161169
2025-10-01,1190896
2025-11-01,1231072
2025-12-01,1315938
2026-01-01,1240617
2026-02-01,1142820
2026-03-01,1188218
2026-04-01,1242640
2026-05-01,1313527
2026-06-01,1071229
